"date","message","Number of files","Number of lines","0 - Ruby","1 - YAML","2 - ERB","3 - SASS","4 - JavaScript"
"2014-12-11 14:23:41 +0530","Merge pull request #1896 from alphagov/feedback-on-topical-event-featurings  Feedback when no editions are found","2486","147361","79345","28631","15153","12841","9706"
"2014-12-03 15:22:09 +0000","Republish all publicly visible case studies  This is to add related policies and worldwide priorities to their links hashes.","2483","147262","79252","28631","15147","12841","9706"
"2014-11-28 14:10:55 +0000","Tidy up temp files after tests","2473","146930","78944","28631","15148","12841","9706"
"2014-11-27 14:50:02 +0000","Make org slug changer add CIP redirects  These live under the org's namespace, and therefore need redirects put in place.","2466","146728","78745","28631","15148","12841","9706"
"2014-11-27 10:29:23 +0000","Fix case study export migration.  Publisher class was renamed but migration referenced the old class.","2465","146636","78657","28631","15144","12841","9706"
"2014-11-25 18:07:43 +0000","DataHygiene::PublishingApiPublisher should 'republish'  Updates should be sent as 'republish' messages. The only use case for this class is bulk-republishing already-published things, so it seems reasonable to make this the default.","2464","146613","78637","28631","15144","12841","9706"
"2014-11-20 15:29:41 +0000","Refactor building of Publishing API presenters  Moves the knowledge for presenting a given model into one place.","2459","146518","78542","28631","15144","12841","9706"
"2014-11-20 11:38:55 +0000","Update view and stylesheets to match prototype  MHRA email alerts needs to look like the prototype. Re-arrange the HTML, remove a lot of unused divs, slimline the CSS and update how the page looks.","2449","146018","78244","28631","15143","12841","9700"
"2014-11-17 16:25:04 +0000","Merge pull request #1838 from alphagov/case-studies-to-publishing-api  Case studies to publishing api","2446","145902","78141","28631","15149","12822","9700"
"2014-11-13 21:14:06 +0000","Cleanup old fall-back image for organisations  Before we had the ability to upload a default news image for organisations in admin, we did a static files lookup. This code and the assets are now redundant as default images have been uploaded for all the organisations in question.","2441","145701","77945","28631","15149","12817","9700"
"2014-11-06 10:20:17 +0000","Data migration to clean up orphan GovspeakContent","2435","145237","77601","28615","15124","12738","9700"
"2014-11-03 09:58:40 +0000","Merge pull request #1816 from alphagov/send-change-notes-to-rummager  Send latest change note to Rummager on Edition index","2440","145130","77945","28102","15178","12746","9700"
"2014-10-30 12:07:59 +0000","Merge pull request #1812 from alphagov/bump-poltergeist  Bump poltergeist","2441","145137","77971","28102","15184","12721","9700"
"2014-10-23 12:57:02 +0000","Add new feature link admin toggle","2439","144642","77506","28102","15158","12717","9700"
"2014-10-27 12:19:39 +0000","Display dynamic title based on filter and user  Be more descriptive with the page title to make it clearer to the user what set of statistics announcements they are seeing.","2435","144788","77653","28102","15182","12692","9700"
"2014-10-22 14:20:56 +0100","Merge pull request #1796 from alphagov/renaming_housing_parent_tags  Migration for updating parent_tag for 'housing' detailed guides","2436","144582","77469","28102","15160","12692","9700"
"2014-10-20 15:51:28 +0100","Merge pull request #1787 from alphagov/multi-topics-on-announcements  Multiple topics on statistics announcements","2432","144513","77400","28102","15160","12692","9700"
"2014-10-16 09:30:15 +0000","Use an en dash to separate title and sector name.  A dash makes more typographical sense than a hyphen here, and elsewhere on GOV.UK we tend to use an en dash surrounded by spaces, rather than an em dash without spaces (or with hair spaces).","2430","144502","77390","28102","15159","12692","9700"
"2014-10-13 13:41:19 +0000","Tidy up attachments controller, add tests.","2417","144260","77197","28102","15123","12693","9686"
"2014-10-09 09:55:06 +0100","Merge pull request #1748 from alphagov/feature/email-signup-pages  Add email signup pages to organisations","2421","144284","77150","28102","15165","12708","9700"
"2014-10-06 06:16:26 +0000","View changes for stats announcement orgs","2420","144197","77101","28102","15142","12693","9700"
"2014-10-07 11:29:21 +0100","Merge pull request #1754 from alphagov/add-additional-vat-guidance-category  Add new detailed guidance category","2416","144137","77040","28102","15143","12693","9700"
"2014-10-06 12:12:36 +0100","Merge pull request #1749 from alphagov/fix_submitted_by  Fix wrong calculation of user who submitted an edition","2410","143883","76805","28102","15130","12693","9697"
"2014-09-25 11:51:37 +0100","Modify organisation_state in search index for closed and devolved organisations We want to hide the [closed organisation] text in search results for organisations marked as closed and devolved. In order to so, we return ""devolved"" if an organisation is closed and devolved.","2403","147829","76252","32677","15055","12693","9696"
"2014-09-19 10:46:43 +0000","Feature tests for publish workflow.","2403","147534","76253","32383","15055","12691","9696"
"2014-09-18 15:25:58 +0100","Set cache-control for replacement attachment redirects  These currently return a 301 with Cache-Control set to private (because that's the default unless otherwise specified).  This means that these requests can't be cached in the CDN etc.  This sets a cache-control header to the default uploads_cache_max_age.","2403","147812","76234","32677","15055","12694","9696"
"2014-09-18 13:03:40 +0100","Fix test to expect string ""0""","2403","147806","76228","32677","15055","12694","9696"
"2014-09-17 06:34:34 +0100","Fix typo.","2395","147183","76023","32383","15008","12617","9696"
"2014-09-12 14:59:54 +0000","Add Organisation#has_child_organisation? method.","2395","147171","76017","32383","15002","12617","9696"
"2014-09-08 12:15:58 +0100","Fixing typo in heading  (reported by ONS)  s/stastistics/statistics","2393","147016","75870","32383","15002","12609","9696"
"2014-09-03 14:52:27 +0000","Minor text amendments  as per Zen ticket #811289","2388","146926","75788","32377","15000","12609","9696"
"2014-08-28 10:13:18 +0000","Add filters to searches on land registry pages  When a search is performed on content which is owned by the Land Registry, scope the search results to contain only land registry content.  This is for https://www.pivotaltracker.com/story/show/77617490  Since the Land Registry transitioned, we've seen a sharp and significant increase in the number of search results which get no result clicks. Also, analytics shows that lots of fairly generic searches are being performed from land-registry pages (eg, for terms such as ""portal"" and ""forms"").  Our hypothesis is that these are searches from people who have been redirected from the old site, and that these searches have a high expectation that searches will be across Land Registry content.  We want to deploy a change now to filter the results accordingly.  The results page will open with the ""Organisations"" filter box expanded, and the ""land-registry"" organisation selected (and at the top of the list of organisations in the filter box).  We'll then track the analytics to see if this scope works well in this case, with a view to scoping or biasing the search results from more organisation pages in future.","2384","146726","75585","32377","15003","12609","9696"
"2014-08-26 10:35:58 +0000","Nest css class correctly","2378","146281","75274","32377","14992","12579","9603"
"2014-08-20 15:13:35 +0000","Fixed Welsh translations","2376","152141","75155","32328","14990","12591","10692"
"2014-08-19 13:45:06 +0100","Remove margin from h3s in admin document lists  * Bootstrap 2.3.2 adds a default margin to h3s * In this case it’s undesirable, styles now match 2.0.3","2369","145535","75053","31985","14908","12562","9571"
"2014-08-15 09:15:41 +0000","Refactor: rename `translated_item` method","2376","151134","75156","31320","14990","12591","10692"
"2014-08-11 15:01:43 +0000","Edition already includes Translatable module","2375","150919","75235","31026","14990","12591","10692"
"2014-08-11 16:55:31 +0100","Inline form and filter results  There is no advantage to having these in separate partials now that the filter results are not updated with AJAX.","2374","151873","75235","31985","14987","12589","10692"
"2014-08-13 15:50:18 +0100","Merge pull request #1656 from alphagov/rewrite-code-for-clarity  Rewrite code for clarity","2373","151589","75042","31985","14908","12577","10692"
"2014-08-11 14:29:59 +0100","Add a data migration to trim excessive slugs  We introduced a limit on slug length in ca28979, however documents created before this time don't conform to this validation, which breaks the crawler.  This data migration cleans up the old slugs for published editions by updating their slugs to the new maximum length and redirecting the old URLs to the new URLs.","2365","150854","75071","31985","14672","12261","10481"
"2014-08-07 09:35:58 +0100","Emulate form styles used in govuk_admin_template  * Use a class, form-large, to avoid applying this everywhere * Reset many of the styles applied by Bootstrap 2 * Default to a larger font-size * Document styles in the style guide","2366","150961","74896","31985","14771","12444","10481"
"2014-08-05 14:26:37 +0100","Add RegisterableEditionBuilderForUnpublishedEditions  Extracts `RegisterableEditionBuilderForUnpublishedEditions` class to build a set of registerable editions for unpublished content that requires re-registering with Panopticon","2363","150763","74986","31985","14666","12261","10481"
"2014-08-01 11:37:56 +0100","Only enable for the Maritime and Coastguard Agency","2360","150629","74844","31985","14674","12261","10481"
